"filename", "language", "C", "KASM", "Markdown", "C++", "C#", "XML", "JSON", "CMake", "comment", "blank", "total"
"d:\My Folders\Programming\C\km8\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 84, 0, 16, 100
"d:\My Folders\Programming\C\km8\README.md", "Markdown", 0, 0, 74, 0, 0, 0, 0, 0, 0, 28, 102
"d:\My Folders\Programming\C\km8\emulator\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 27, 0, 6, 33
"d:\My Folders\Programming\C\km8\emulator\main.c", "C", 230, 0, 0, 0, 0, 0, 0, 0, 0, 48, 278
"d:\My Folders\Programming\C\km8\emulator\platform\platform.h", "C++", 0, 0, 0, 22, 0, 0, 0, 0, 0, 9, 31
"d:\My Folders\Programming\C\km8\emulator\platform\platform_linux.c", "C", 264, 0, 0, 0, 0, 0, 0, 0, 0, 66, 330
"d:\My Folders\Programming\C\km8\emulator\platform\platform_stub.c", "C", 47, 0, 0, 0, 0, 0, 0, 0, 0, 8, 55
"d:\My Folders\Programming\C\km8\emulator\platform\platform_win32.c", "C", 189, 0, 0, 0, 0, 0, 0, 0, 0, 45, 234
"d:\My Folders\Programming\C\km8\include\km8\cartridge.h", "C", 17, 0, 0, 0, 0, 0, 0, 0, 2, 11, 30
"d:\My Folders\Programming\C\km8\include\km8\cpu.h", "C", 69, 0, 0, 0, 0, 0, 0, 0, 0, 21, 90
"d:\My Folders\Programming\C\km8\include\km8\km8.h", "C", 31, 0, 0, 0, 0, 0, 0, 0, 0, 11, 42
"d:\My Folders\Programming\C\km8\include\km8\rom.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\My Folders\Programming\C\km8\internal\bus.h", "C++", 0, 0, 0, 69, 0, 0, 0, 0, 24, 27, 120
"d:\My Folders\Programming\C\km8\internal\cpu_internal.h", "C", 39, 0, 0, 0, 0, 0, 0, 0, 2, 12, 53
"d:\My Folders\Programming\C\km8\internal\km8_internal.h", "C++", 0, 0, 0, 3, 0, 0, 0, 0, 0, 4, 7
"d:\My Folders\Programming\C\km8\roms\inc_loop.kasm", "KASM", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"d:\My Folders\Programming\C\km8\src\bus\bus.c", "C", 41, 0, 0, 0, 0, 0, 0, 0, 0, 13, 54
"d:\My Folders\Programming\C\km8\src\bus\dispatch.c", "C", 15, 0, 0, 0, 0, 0, 0, 0, 0, 8, 23
"d:\My Folders\Programming\C\km8\src\cartridge\cartridge.c", "C", 84, 0, 0, 0, 0, 0, 0, 0, 9, 22, 115
"d:\My Folders\Programming\C\km8\src\cartridge\ram.c", "C", 33, 0, 0, 0, 0, 0, 0, 0, 4, 13, 50
"d:\My Folders\Programming\C\km8\src\cartridge\rom.c", "C", 33, 0, 0, 0, 0, 0, 0, 0, 3, 11, 47
"d:\My Folders\Programming\C\km8\src\core.c", "C", 20, 0, 0, 0, 0, 0, 0, 0, 2, 7, 29
"d:\My Folders\Programming\C\km8\src\cpu\alu.c", "C", 73, 0, 0, 0, 0, 0, 0, 0, 0, 31, 104
"d:\My Folders\Programming\C\km8\src\cpu\cpu.c", "C", 95, 0, 0, 0, 0, 0, 0, 0, 3, 30, 128
"d:\My Folders\Programming\C\km8\src\cpu\opcodes.c", "C", 587, 0, 0, 0, 0, 0, 0, 0, 18, 91, 696
"d:\My Folders\Programming\C\km8\src\mem\bios.c", "C", 24, 0, 0, 0, 0, 0, 0, 0, 6, 10, 40
"d:\My Folders\Programming\C\km8\src\mem\wram.c", "C", 37, 0, 0, 0, 0, 0, 0, 0, 0, 13, 50
"d:\My Folders\Programming\C\km8\tools\kasm\AssemblerContext.cs", "C#", 0, 0, 0, 0, 29, 0, 0, 0, 3, 11, 43
"d:\My Folders\Programming\C\km8\tools\kasm\Exceptions\KasmInternalException.cs", "C#", 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"d:\My Folders\Programming\C\km8\tools\kasm\InstructionSet.cs", "C#", 0, 0, 0, 0, 37, 0, 0, 0, 1, 11, 49
"d:\My Folders\Programming\C\km8\tools\kasm\Parsing\Exceptions\KasmSyntaxException.cs", "C#", 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"d:\My Folders\Programming\C\km8\tools\kasm\Parsing\Parser.cs", "C#", 0, 0, 0, 0, 58, 0, 0, 0, 0, 16, 74
"d:\My Folders\Programming\C\km8\tools\kasm\Parsing\Statement.cs", "C#", 0, 0, 0, 0, 36, 0, 0, 0, 0, 7, 43
"d:\My Folders\Programming\C\km8\tools\kasm\Parsing\StatementBuilder.cs", "C#", 0, 0, 0, 0, 27, 0, 0, 0, 3, 10, 40
"d:\My Folders\Programming\C\km8\tools\kasm\Parsing\StatementSequence.cs", "C#", 0, 0, 0, 0, 18, 0, 0, 0, 3, 6, 27
"d:\My Folders\Programming\C\km8\tools\kasm\Parsing\StatementSequenceBuilder.cs", "C#", 0, 0, 0, 0, 27, 0, 0, 0, 3, 10, 40
"d:\My Folders\Programming\C\km8\tools\kasm\Program.cs", "C#", 0, 0, 0, 0, 106, 0, 0, 0, 9, 36, 151
"d:\My Folders\Programming\C\km8\tools\kasm\Symbols\Symbol.cs", "C#", 0, 0, 0, 0, 20, 0, 0, 0, 0, 3, 23
"d:\My Folders\Programming\C\km8\tools\kasm\Symbols\SymbolTable.cs", "C#", 0, 0, 0, 0, 20, 0, 0, 0, 3, 7, 30
"d:\My Folders\Programming\C\km8\tools\kasm\Tokenization\ITokenHandler.cs", "C#", 0, 0, 0, 0, 19, 0, 0, 0, 0, 5, 24
"d:\My Folders\Programming\C\km8\tools\kasm\Tokenization\Token.cs", "C#", 0, 0, 0, 0, 19, 0, 0, 0, 0, 3, 22
"d:\My Folders\Programming\C\km8\tools\kasm\Tokenization\TokenSequence.cs", "C#", 0, 0, 0, 0, 18, 0, 0, 0, 3, 6, 27
"d:\My Folders\Programming\C\km8\tools\kasm\Tokenization\TokenSequenceBuilder.cs", "C#", 0, 0, 0, 0, 24, 0, 0, 0, 0, 5, 29
"d:\My Folders\Programming\C\km8\tools\kasm\Tokenization\TokenTypes\AddressLiteralTokenHandler.cs", "C#", 0, 0, 0, 0, 31, 0, 0, 0, 4, 12, 47
"d:\My Folders\Programming\C\km8\tools\kasm\Tokenization\TokenTypes\DirectiveTokenHandler.cs", "C#", 0, 0, 0, 0, 16, 0, 0, 0, 4, 11, 31
"d:\My Folders\Programming\C\km8\tools\kasm\Tokenization\TokenTypes\EOFToken.cs", "C#", 0, 0, 0, 0, 18, 0, 0, 0, 0, 4, 22
"d:\My Folders\Programming\C\km8\tools\kasm\Tokenization\TokenTypes\IdentifierToken.cs", "C#", 0, 0, 0, 0, 16, 0, 0, 0, 4, 13, 33
"d:\My Folders\Programming\C\km8\tools\kasm\Tokenization\TokenTypes\InstructionToken.cs", "C#", 0, 0, 0, 0, 17, 0, 0, 0, 3, 7, 27
"d:\My Folders\Programming\C\km8\tools\kasm\Tokenization\TokenTypes\IntegerLiteralToken.cs", "C#", 0, 0, 0, 0, 31, 0, 0, 0, 4, 12, 47
"d:\My Folders\Programming\C\km8\tools\kasm\Tokenization\TokenTypes\LabelToken.cs", "C#", 0, 0, 0, 0, 25, 0, 0, 0, 4, 10, 39
"d:\My Folders\Programming\C\km8\tools\kasm\Tokenization\TokenTypes\NewLineToken.cs", "C#", 0, 0, 0, 0, 20, 0, 0, 0, 0, 5, 25
"d:\My Folders\Programming\C\km8\tools\kasm\Tokenization\TokenTypes\RegisterToken.cs", "C#", 0, 0, 0, 0, 34, 0, 0, 0, 4, 11, 49
"d:\My Folders\Programming\C\km8\tools\kasm\Tokenization\Tokenizer.cs", "C#", 0, 0, 0, 0, 54, 0, 0, 0, 0, 20, 74
"d:\My Folders\Programming\C\km8\tools\kasm\kasm.csproj", "XML", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 17
"d:\My Folders\Programming\C\km8\tools\kasm\km8-isa-latest.json", "JSON", 0, 0, 0, 0, 0, 0, 415, 0, 0, 0, 415
"Total", "-", 1928, 5, 74, 94, 746, 17, 415, 111, 128, 808, 4326